"Отметка времени","Итоговая оценка за экзамен по ТОЭ","С какого раза вы сдали экзамен по ТОЭ (если улучшали оценку, так же указать с какого раза получили желаемую оценку)","Регулярность посещения занятий. Оцените процент занятий, которые посетили в последнем семетре по ТОЭ (лекции+практика)?","Оценка по физике в школе","Оценка по физике в последнем семестре?","Оценка за ИДЗ по ТОЭ за семестр ","Оценка по лабораторным ТОЭ","Вели конспект по занятиям? (лекции и/или практики)","Выходили к доске на практике?","Оценка за последнюю контрольную работу по ТОЭ","В течении предыдущего семестра были трудоустроены и/или проходили стажировку?","Если работали/проходили стажировку, то какая ставка (загрузка):","Где проживаете?","Есть кот дома? (в месте, где сейчас живете)","Есть родной брат/сестра?","Гражданство","Сколько в среднем играли в прошлом семестре? Укажите число в часах","Была ли стипендия в 3 семестре?","Оцените свое ментальное здоровье в прошлом семестре","Оцените, насколько были истощены (уставши) к началу сессии"
"2024/10/01 12:43:10 AM GMT+3","4","2","100","4","5","5","4","да","нет","5","нет","","дома","нет","да","RUS","","да","9","7"
"2024/10/01 1:14:26 AM GMT+3","3","1","75","5","3","4","4","да","нет","4","нет","0","дома","нет","да","KAZ","В компьютер? Или, предположим, в волейбол?","нет","9","8"
"2024/10/01 1:29:34 AM GMT+3","5","1","100","4","5","4","4","нет","да","4","нет","","общежитие 8","нет","нет","BLR","1000","нет","4","7"
"2024/10/01 1:51:14 AM GMT+3","5","1","75","5","","4","5","да","нет","4","нет","0.75","дома","нет","да","RUS","0,1","да","0","10"
"2024/10/01 7:11:43 AM GMT+3","3","1","100","5","4","4","4","да","нет","3","да","0.5","дома","нет","да","RUS","0","да","5","8"
"2024/10/01 7:38:38 AM GMT+3","4","1","75","4","4","5","5","да","да","5","нет","0","общежитие МСГ","нет","да","RUS","0","нет","9","1"
"2024/10/01 1:14:11 PM GMT+3","3","1","50","4","3","4","3","да","нет","5","нет","0","общежитие 8","нет","да","KAZ","500","да","3","7"
"2024/10/01 3:46:22 PM GMT+3","3","1","75","4","3","3","3","да","нет","3","да","0.25","дома","нет","да","KAZ","2.5","нет","7","3"
"2024/10/01 5:24:16 PM GMT+3","3","1","50","5","3","3","3","да","нет","5","нет","","общ 7","нет","нет","BLR","0","нет","6","4"
"2024/10/01 6:27:28 PM GMT+3","5","1","100","5","4","5","5","да","да","5","нет","0","общежитие 8","нет","да","RUS","400","да","5","6"
"2024/10/01 9:46:14 PM GMT+3","4","1","100","5","5","5","5","нет","нет","5","нет","0","дома","да","да","RUS","0","нет","5","4"
"2024/10/01 9:46:32 PM GMT+3","5","1","75","3","4","5","4","да","нет","3","да","0.5","дома","нет","нет","RUS","0","да","6","7"
"2024/10/01 9:47:57 PM GMT+3","5","1","75","4","3","5","5","да","нет","3","нет","","общежитие МСГ","нет","да","RUS","","нет","7","8"
"2024/10/01 9:48:05 PM GMT+3","3","1","75","4","4","4","3","да","нет","3","да","0.75","общежитие 8","нет","да","KAZ","Больше 500 часов","нет","6","8"
"2024/10/01 9:48:06 PM GMT+3","4","1","100","4","4","5","5","да","нет","5","нет","0","дома","да","да","RUS","2-3 часа в день","да","10","0"
"2024/10/01 9:59:02 PM GMT+3","5","1","100","3","4","5","5","да","нет","5","нет","","дома","нет","нет","RUS","1 час","да","9","5"
"2024/10/01 10:01:45 PM GMT+3","5","1","100","5","5","5","5","да","нет","5","нет","0","дома","нет","да","RUS","0","да","2","8"
"2024/10/01 10:07:26 PM GMT+3","4","1","50","4","3","4","4","да","нет","4","да","0.25","дома","нет","да","RUS","0","нет","2","3"
"2024/10/01 10:18:27 PM GMT+3","4","1","50","5","3","5","5","да","да","5","нет","0","общежитие МСГ","да","да","RUS","145","да","7","6"
"2024/10/01 10:44:48 PM GMT+3","3","2","25","5","4","4","5","нет","нет","4","нет","0","дома","нет","нет","RUS","500","нет","5","2"
"2024/10/01 10:52:02 PM GMT+3","3","1","75","5","3","4","3","да","нет","4","да","0.5","общежитие 8","нет","да","KAZ","0","нет","10","2"
"2024/10/01 11:37:57 PM GMT+3","4","1","50","4","5","4","4","да","нет","4","нет","0","общежитие 8","нет","да","BLR","","","8","7"
"2024/10/01 11:55:33 PM GMT+3","5","1","100","3","3","5","5","да","да","5","да","0.25","дома","да","да","RUS","","нет","5","7"
"2024/10/02 1:04:00 AM GMT+3","3","1","50","5","4","5","5","нет","да","4","да","0.75","общежитие 8","нет","да","RUS","-","нет","9","8"
"2024/10/02 7:40:08 PM GMT+3","3","1","25","5","4","5","5","да","нет","5","нет","0","дома","нет","да","RUS","80","нет","6","6"
